62,"BAT","MANA",324,"2017-12-11 14:19:41.323","2017-12-11 14:19:41.323"
63,"MANA","NET",40,"2017-12-11 14:19:41.323","2017-12-11 14:19:41.323"
64,"MANA","OMG",817,"2017-12-11 14:19:41.323","2017-12-11 14:19:41.323"
65,"DNT","ZRX",2619,"2017-12-11 14:19:41.323","2017-12-11 14:19:41.323"
66,"GNT","KNC",1147,"2017-12-11 14:19:41.323","2017-12-11 14:19:41.323"
67,"EOS","MANA",904,"2017-12-11 14:19:41.323","2017-12-11 14:19:41.323"
68,"BNT","EOS",2147,"2017-12-11 14:19:41.323","2017-12-11 14:19:41.323"
69,"BNT","ZRX",871,"2017-12-11 14:19:41.323","2017-12-11 14:19:41.323"
70,"EOS","ZRX",2108,"2017-12-11 14:19:41.323","2017-12-11 14:19:41.323"
71,"EOS","SNT",8308,"2017-12-11 14:19:41.323","2017-12-11 14:19:41.323"
72,"EOS","TXP",5040,"2017-12-11 14:19:41.323","2017-12-11 14:19:41.323"
73,"SNT","TXP",4271,"2017-12-11 14:19:41.323","2017-12-11 14:19:41.323"
74,"ICN","TXP",992,"2017-12-11 14:19:41.323","2017-12-11 14:19:41.323"
75,"BAT","CVC",8105,"2017-12-11 14:19:41.323","2017-12-11 14:19:41.323"
76,"MCO","OMG",1589,"2017-12-11 14:19:41.323","2017-12-11 14:19:41.323"
77,"DNT","ICN",794,"2017-12-11 14:19:41.323","2017-12-11 14:19:41.323"
78,"ANT","ICN",1220,"2017-12-11 14:19:41.323","2017-12-11 14:19:41.323"
79,"KNC","SNT",3158,"2017-12-11 14:19:41.323","2017-12-11 14:19:41.323"
80,"ANT","BNT",1541,"2017-12-11 14:19:41.323","2017-12-11 14:19:41.323"
81,"ANT","EOS",4726,"2017-12-11 14:19:41.323","2017-12-11 14:19:41.323"
82,"ANT","MANA",201,"2017-12-11 14:19:41.323","2017-12-11 14:19:41.323"
83,"ANT","MLN",410,"2017-12-11 14:19:41.323","2017-12-11 14:19:41.323"
84,"ANT","OMG",4934,"2017-12-11 14:19:41.323","2017-12-11 14:19:41.323"
85,"ANT","TXP",1103,"2017-12-11 14:19:41.323","2017-12-11 14:19:41.323"
86,"BNT","MANA",252,"2017-12-11 14:19:41.323","2017-12-11 14:19:41.323"
87,"BNT","MLN",294,"2017-12-11 14:19:41.323","2017-12-11 14:19:41.323"
88,"BNT","OMG",1775,"2017-12-11 14:19:41.323","2017-12-11 14:19:41.323"
89,"BNT","TXP",1425,"2017-12-11 14:19:41.323","2017-12-11 14:19:41.323"
90,"EOS","MLN",221,"2017-12-11 14:19:41.323","2017-12-11 14:19:41.323"
91,"EOS","OMG",14793,"2017-12-11 14:19:41.323","2017-12-11 14:19:41.323"
92,"MANA","MLN",58,"2017-12-11 14:19:41.323","2017-12-11 14:19:41.323"
93,"MANA","TXP",467,"2017-12-11 14:19:41.323","2017-12-11 14:19:41.323"
94,"MLN","TXP",247,"2017-12-11 14:19:41.323","2017-12-11 14:19:41.323"
95,"OMG","TXP",8759,"2017-12-11 14:19:41.323","2017-12-11 14:19:41.323"
96,"CVC","ZRX",2082,"2017-12-11 14:19:41.323","2017-12-11 14:19:41.323"
97,"KNC","ZRX",2977,"2017-12-11 14:19:41.323","2017-12-11 14:19:41.323"
98,"DGD","EOS",637,"2017-12-11 14:19:41.323","2017-12-11 14:19:41.323"
99,"CVC","OMG",10488,"2017-12-11 14:19:41.323","2017-12-11 14:19:41.323"
100,"CVC","REP",2824,"2017-12-11 14:19:41.323","2017-12-11 14:19:41.323"
101,"ANT","CVC",4369,"2017-12-11 14:19:41.323","2017-12-11 14:19:41.323"
102,"CVC","TXP",4175,"2017-12-11 14:19:41.323","2017-12-11 14:19:41.323"
103,"DNT","EOS",3852,"2017-12-11 14:19:41.323","2017-12-11 14:19:41.323"
104,"DNT","MKR",91,"2017-12-11 14:19:41.323","2017-12-11 14:19:41.323"
105,"EOS","MKR",70,"2017-12-11 14:19:41.323","2017-12-11 14:19:41.323"
106,"BNT","CVC",1578,"2017-12-11 14:19:41.323","2017-12-11 14:19:41.323"
107,"CVC","EOS",7953,"2017-12-11 14:19:41.323","2017-12-11 14:19:41.323"
108,"DNT","GNT",4407,"2017-12-11 14:19:41.323","2017-12-11 14:19:41.323"
109,"DNT","OMG",5575,"2017-12-11 14:19:41.323","2017-12-11 14:19:41.323"
110,"ANT","BAT",5803,"2017-12-11 14:19:41.323","2017-12-11 14:19:41.323"
111,"ANT","SNT",1643,"2017-12-11 14:19:41.323","2017-12-11 14:19:41.323"
112,"ANT","ZRX",928,"2017-12-11 14:19:41.323","2017-12-11 14:19:41.323"
113,"BAT","SNT",3296,"2017-12-11 14:19:41.323","2017-12-11 14:19:41.323"
114,"SNT","ZRX",1858,"2017-12-11 14:19:41.323","2017-12-11 14:19:41.323"
115,"ANT","GNT",7525,"2017-12-11 14:19:41.323","2017-12-11 14:19:41.323"
116,"BAT","BNT",1866,"2017-12-11 14:19:41.323","2017-12-11 14:19:41.323"
117,"BAT","EOS",7004,"2017-12-11 14:19:41.323","2017-12-11 14:19:41.323"
118,"BNT","GNT",2045,"2017-12-11 14:19:41.323","2017-12-11 14:19:41.323"
119,"EOS","GNT",9868,"2017-12-11 14:19:41.323","2017-12-11 14:19:41.323"
120,"GNT","SNT",4076,"2017-12-11 14:19:41.323","2017-12-11 14:19:41.323"
121,"BNT","KNC",907,"2017-12-11 14:19:41.323","2017-12-11 14:19:41.323"
122,"MCO","REP",262,"2017-12-11 14:19:41.323","2017-12-11 14:19:41.323"
123,"MCO","TXP",1354,"2017-12-11 14:19:41.323","2017-12-11 14:19:41.323"
124,"REP","TXP",634,"2017-12-11 14:19:41.323","2017-12-11 14:19:41.323"
125,"MANA","SNT",825,"2017-12-11 14:19:41.323","2017-12-11 14:19:41.323"
126,"CVC","GNT",9374,"2017-12-11 14:19:41.323","2017-12-11 14:19:41.323"
127,"EOS","REP",2832,"2017-12-11 14:19:41.323","2017-12-11 14:19:41.323"
128,"BNT","DNT",794,"2017-12-11 14:19:41.323","2017-12-11 14:19:41.323"
129,"DNT","KNC",1659,"2017-12-11 14:19:41.323","2017-12-11 14:19:41.323"
130,"ANT","NET",138,"2017-12-11 14:19:41.323","2017-12-11 14:19:41.323"
131,"BNT","NET",178,"2017-12-11 14:19:41.323","2017-12-11 14:19:41.323"
132,"CVC","NET",194,"2017-12-11 14:19:41.323","2017-12-11 14:19:41.323"
133,"ICN","KNC",433,"2017-12-11 14:19:41.323","2017-12-11 14:19:41.323"
134,"GNT","TXP",3212,"2017-12-11 14:19:41.323","2017-12-11 14:19:41.323"
135,"BCAP","BNT",160,"2017-12-11 14:19:41.323","2017-12-11 14:19:41.323"
136,"BCAP","ZRX",130,"2017-12-11 14:19:41.323","2017-12-11 14:19:41.323"
137,"ANT","DNT",3037,"2017-12-11 14:19:41.323","2017-12-11 14:19:41.323"
138,"ANT","KNC",542,"2017-12-11 14:19:41.323","2017-12-11 14:19:41.323"
139,"DNT","MANA",455,"2017-12-11 14:19:41.323","2017-12-11 14:19:41.323"
140,"DNT","SNT",1715,"2017-12-11 14:19:41.323","2017-12-11 14:19:41.323"
141,"KNC","MANA",1078,"2017-12-11 14:19:41.323","2017-12-11 14:19:41.323"
142,"BNT","ICN",784,"2017-12-11 14:19:41.323","2017-12-11 14:19:41.323"
143,"BNT","MCO",827,"2017-12-11 14:19:41.323","2017-12-11 14:19:41.323"
144,"BNT","QTUM",246,"2017-12-11 14:19:41.323","2017-12-11 14:19:41.323"
145,"DNT","MCO",562,"2017-12-11 14:19:41.323","2017-12-11 14:19:41.323"
146,"DNT","QTUM",364,"2017-12-11 14:19:41.323","2017-12-11 14:19:41.323"
147,"EOS","ICN",1075,"2017-12-11 14:19:41.323","2017-12-11 14:19:41.323"
148,"EOS","MCO",1386,"2017-12-11 14:19:41.323","2017-12-11 14:19:41.323"
149,"EOS","QTUM",1274,"2017-12-11 14:19:41.323","2017-12-11 14:19:41.323"
150,"ICN","MCO",440,"2017-12-11 14:19:41.323","2017-12-11 14:19:41.323"
151,"ICN","QTUM",150,"2017-12-11 14:19:41.323","2017-12-11 14:19:41.323"
152,"ICN","SNT",943,"2017-12-11 14:19:41.323","2017-12-11 14:19:41.323"
153,"MCO","QTUM",153,"2017-12-11 14:19:41.323","2017-12-11 14:19:41.323"
