Address,Balance,Token
0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,36278.7339,"MLN"
0x547a769bbdd645a3fd20eb621d900a3535f6b433,5.0304,"MLN"
0x0760ad36c4e649bc2619cda3bdb17b489f0114a9,13.4462,"MLN"
0x3efd9b0bd8e4595bc494539aca584821950106ee,0.0003,"MLN"
0xcca1c5a2320470027740dee8d8a6f5a212c1833c,16.0499,"MLN"
0x0d99d9c32d012620ee07dbf0b7a020a633c4fbcd,50.1311,"MLN"
0xbfe2e66358292b9245463e4ebaceb4a2dfb2b4dd,4.2414,"MLN"
0xd6a0fda5bc63658d7d612376d297cf5471bac078,10.9254,"MLN"
0x5da83f7517babca6888f83f786ed4bf524531f84,1.6362,"MLN"
0x76a95d549ca36d955df2c72f693690d8e51a94d0,15.7364,"MLN"
0xb06d1f8cb76009d9bbc9548b0c9929435e1c50b3,1.2500,"MLN"
0xd1398ea700e83b138902f2b64d76432abf3534f0,0.0730,"MLN"
0xa93593e4c4062d205fd2559397f24809f9b4bcb7,34.9900,"MLN"
0x9dd9bc28fc613339bf78657401e37222248c598c,1.5788,"MLN"
0x78b500083b218775e518d875bf95aecdbd01c68c,0.2215,"MLN"
0xbb131c1704046232c30067dee33c8ddf39112f50,0.1921,"MLN"
0xe88f4d360a5a6b2f1a8131c7a0a58f76db476be4,2.7907,"MLN"
0xaaf7eb3dfdb5109ea607d69fe2c36ad9b9346f89,290.4855,"MLN"
0xfa34498c45df586aff00e52ebfca7e187869c4e4,36.9770,"MLN"
0x9831fdc2b9049f64087125ff9a464e510e90f3d5,0.0970,"MLN"
0xf42471786aea9c90619d64838447717f89be0df2,47.6655,"MLN"
0x0efef0b34638addc8833ba729ae20016b5f24ffc,22.3131,"MLN"
0x678612d5b7124d47587ee2a32ccd9765155d6c20,10.0000,"MLN"
0x952138b856771785c2b55da4aa1c926aeaaba214,25.0000,"MLN"
0xfcb276160f9c2d2b5f6f8793fb14a46067b87ce9,0.5705,"MLN"
0xa39a78529264dc09b975f9ce6ffaceee31aed491,3.9042,"MLN"
0xca7f1155a61051225b4d2fcfad036e57efe9af80,0.0236,"MLN"
0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,1009.6686,"MLN"
0x2a82a0bd37676630c18a2c0ea00928288667c494,1.9940,"MLN"
0x340b7ebbbf4a6ed0a5a21dacb7849a780dc7716e,0.0100,"MLN"
0x839395e20bbb182fa440d08f850e6c7a8f6f0780,11.1459,"MLN"
0x045100be931ff5bc553e609950e117ef5fb4cd9b,192.9623,"MLN"
0xfe76411c281934cac6de68fe39191f7b2d84b6a5,12.1327,"MLN"
0x14730014eea880f2d52ac0b67442c485242d9b9c,10.8387,"MLN"
0xf93c16100bbb79c27002068a22874d877820c8da,0.3100,"MLN"
0x1543746f6ff7095bebf7938a25f41539077e5b2c,191.9758,"MLN"
